,cnae_code,ativ_desc,description,code_description
360,2222600,Fabricação de embalagens de material plástico,Manufacture of plastic material packaging,2222600 - Manufacture of plastic material packaging
361,2223400,Fabricação de tubos e acessórios de material plástico para uso na construção,Manufacture of plastic material tubes and fittings for use in construction,2223400 - Manufacture of plastic material tubes and fittings for use in construction
362,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Manufacture of plastic material artifacts for personal and domestic use,2229301 - Manufacture of plastic material artifacts for personal and domestic use
363,2229302,Fabricação de artefatos de material plástico para usos industriais,Manufacture of plastic material artifacts for industrial uses,2229302 - Manufacture of plastic material artifacts for industrial uses
364,2229303,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios","Manufacture of plastic material artifacts for use in construction, except pipes and fittings","2229303 - Manufacture of plastic material artifacts for use in construction, except pipes and fittings"
365,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Manufacture of plastic material artifacts for other uses not previously specified,2229399 - Manufacture of plastic material artifacts for other uses not previously specified
366,2311700,Fabricação de vidro plano e de segurança,Flat and safety glass manufacturing,2311700 - Flat and safety glass manufacturing
367,2312500,Fabricação de embalagens de vidro,Glass packaging manufacturing,2312500 - Glass packaging manufacturing
368,2319200,Fabricação de artigos de vidro,glassware manufacturing,2319200 - glassware manufacturing
369,2320600,Fabricação de cimento,cement manufacturing,2320600 - cement manufacturing
370,2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda","Manufacture of precast reinforced concrete structures, in series and on demand","2330301 - Manufacture of precast reinforced concrete structures, in series and on demand"
371,2330302,Fabricação de artefatos de cimento para uso na construção,Manufacture of cement artifacts for use in construction,2330302 - Manufacture of cement artifacts for use in construction
372,2330303,Fabricação de artefatos de fibrocimento para uso na construção,Manufacture of fiber cement artifacts for use in construction,2330303 - Manufacture of fiber cement artifacts for use in construction
373,2330304,Fabricação de casas pré-moldadas de concreto,Manufacture of precast concrete houses,2330304 - Manufacture of precast concrete houses
374,2330305,Preparação de massa de concreto e argamassa para construção,Preparation of concrete and mortar mass for construction,2330305 - Preparation of concrete and mortar mass for construction
375,2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes","Manufacture of other artifacts and products made from concrete, cement, fiber cement, plaster and similar materials","2330399 - Manufacture of other artifacts and products made from concrete, cement, fiber cement, plaster and similar materials"
376,2341900,Fabricação de produtos cerâmicos refratários,Manufacturing of refractory ceramic products,2341900 - Manufacturing of refractory ceramic products
377,2342701,Fabricação de azulejos e pisos,Fabrication of tiles and floors,2342701 - Fabrication of tiles and floors
378,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos","Manufacture of ceramic and baked clay artifacts for use in construction, except tiles and floors","2342702 - Manufacture of ceramic and baked clay artifacts for use in construction, except tiles and floors"
379,2349401,Fabricação de material sanitário de cerâmica,Manufacture of ceramic sanitary material,2349401 - Manufacture of ceramic sanitary material
380,2349499,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente,Manufacture of non-refractory ceramic products not otherwise specified,2349499 - Manufacture of non-refractory ceramic products not otherwise specified
381,2391501,"Britamento de pedras, exceto associado à extração","Stone crushing, except in connection with quarrying","2391501 - Stone crushing, except in connection with quarrying"
382,2391502,"Aparelhamento de pedras para construção, exceto associado à extração","Rigging construction stones, except in connection with quarrying","2391502 - Rigging construction stones, except in connection with quarrying"
383,2391503,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras","Rigging plates and carrying out work in marble, granite, slate and other stones","2391503 - Rigging plates and carrying out work in marble, granite, slate and other stones"
384,2392300,Fabricação de cal e gesso,Manufacture of lime and gypsum,2392300 - Manufacture of lime and gypsum
385,2399101,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal","Decoration, cutting, engraving, glazing and other works in ceramics, tableware, glass and crystal","2399101 - Decoration, cutting, engraving, glazing and other works in ceramics, tableware, glass and crystal"
386,2399102,Fabricação de abrasivos,Abrasive manufacturing,2399102 - Abrasive manufacturing
387,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,Manufacture of other non-metallic mineral products not otherwise specified,2399199 - Manufacture of other non-metallic mineral products not otherwise specified
388,2411300,Produção de ferro-gusa,Pig iron production,2411300 - Pig iron production
389,2412100,Produção de ferroligas,Ferroalloy production,2412100 - Ferroalloy production
390,2421100,Produção de semi-acabados de aço,Production of steel semi-finished products,2421100 - Production of steel semi-finished products
391,2422901,"Produção de laminados planos de aço ao carbono, revestidos ou não","Production of flat rolled carbon steel, coated or uncoated","2422901 - Production of flat rolled carbon steel, coated or uncoated"
392,2422902,Produção de laminados planos de aços especiais,Production of special steel flat rolled products,2422902 - Production of special steel flat rolled products
393,2423701,Produção de tubos de aço sem costura,Production of seamless steel tubes,2423701 - Production of seamless steel tubes
394,2423702,"Produção de laminados longos de aço, exceto tubos","Production of long rolled steel, except tubes","2423702 - Production of long rolled steel, except tubes"
395,2424501,Produção de arames de aço,Production of steel wires,2424501 - Production of steel wires
396,2424502,"Produção de relaminados, trefilados e perfilados de aço, exceto arames","Production of re-rolled, drawn and profiled steel, except wires","2424502 - Production of re-rolled, drawn and profiled steel, except wires"
397,2431800,Produção de tubos de aço com costura,Production of sewn steel tubes,2431800 - Production of sewn steel tubes
398,2439300,Produção de outros tubos de ferro e aço,Production of other iron and steel tubes,2439300 - Production of other iron and steel tubes
399,2441501,Produção de alumínio e suas ligas em formas primárias,Production of aluminum and its alloys in primary forms,2441501 - Production of aluminum and its alloys in primary forms
400,2441502,Produção de laminados de alumínio,Production of aluminum laminates,2441502 - Production of aluminum laminates
401,2442300,Metalurgia dos metais preciosos,Precious metals metallurgy,2442300 - Precious metals metallurgy
402,2443100,Metalurgia do cobre,copper metallurgy,2443100 - copper metallurgy
403,2449101,Produção de zinco em formas primárias,Zinc production in primary forms,2449101 - Zinc production in primary forms
404,2449102,Produção de laminados de zinco,Production of zinc laminates,2449102 - Production of zinc laminates
405,2449103,Fabricação de ânodos para galvanoplastia,Manufacture of anodes for electroplating,2449103 - Manufacture of anodes for electroplating
406,2449199,Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente,Metallurgy of other non-ferrous metals and their alloys not otherwise specified,2449199 - Metallurgy of other non-ferrous metals and their alloys not otherwise specified
407,2451200,Fundição de ferro e aço,Iron and Steel Casting,2451200 - Iron and Steel Casting
408,2452100,Fundição de metais não-ferrosos e suas ligas,Casting of non-ferrous metals and their alloys,2452100 - Casting of non-ferrous metals and their alloys
409,2511000,Fabricação de estruturas metálicas,Manufacture of metallic structures,2511000 - Manufacture of metallic structures
410,2512800,Fabricação de esquadrias de metal,Manufacture of metal frames,2512800 - Manufacture of metal frames
411,2513600,Fabricação de obras de caldeiraria pesada,Manufacture of heavy boiler works,2513600 - Manufacture of heavy boiler works
412,2521700,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central","Manufacture of tanks, metal reservoirs and boilers for central heating","2521700 - Manufacture of tanks, metal reservoirs and boilers for central heating"
413,2522500,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos","Manufacture of steam generating boilers, except for central heating and for vehicles","2522500 - Manufacture of steam generating boilers, except for central heating and for vehicles"
414,2531401,Produção de forjados de aço,Production of steel forgings,2531401 - Production of steel forgings
415,2531402,Produção de forjados de metais não-ferrosos e suas ligas,Production of forgings from non-ferrous metals and their alloys,2531402 - Production of forgings from non-ferrous metals and their alloys
416,2532201,Produção de artefatos estampados de metal,Production of stamped metal artifacts,2532201 - Production of stamped metal artifacts
417,2532202,Metalurgia do pó,powder metallurgy,2532202 - powder metallurgy
418,2539000,"Serviços de usinagem, solda, tratamento e revestimento em metais","Metal machining, welding, treatment and coating services","2539000 - Metal machining, welding, treatment and coating services"
419,2539001,"Serviços de usinagem, tornearia e solda","Machining, turning and welding services","2539001 - Machining, turning and welding services"
420,2539002,Serviços de tratamento e revestimento em metais,Metal treatment and coating services,2539002 - Metal treatment and coating services
421,2541100,Fabricação de artigos de cutelaria,Cutlery manufacturing,2541100 - Cutlery manufacturing
422,2542000,"Fabricação de artigos de serralheria, exceto esquadrias","Manufacture of locksmith articles, except frames","2542000 - Manufacture of locksmith articles, except frames"
423,2543800,Fabricação de ferramentas,Tool making,2543800 - Tool making
424,2550101,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate","Manufacture of heavy weapons equipment, except military combat vehicles","2550101 - Manufacture of heavy weapons equipment, except military combat vehicles"
425,2550102,"Fabricação de armas de fogo, outras armas e munições","Manufacture of firearms, other weapons and ammunition","2550102 - Manufacture of firearms, other weapons and ammunition"
426,2591800,Fabricação de embalagens metálicas,Manufacture of metallic packaging,2591800 - Manufacture of metallic packaging
427,2592601,Fabricação de produtos de trefilados de metal padronizados,Manufacture of standardized metal drawn products,2592601 - Manufacture of standardized metal drawn products
428,2592602,"Fabricação de produtos de trefilados de metal, exceto padronizados","Manufacture of metal drawn products, except standardized","2592602 - Manufacture of metal drawn products, except standardized"
429,2593400,Fabricação de artigos de metal para uso doméstico e pessoal,Manufacture of metal items for home and personal use,2593400 - Manufacture of metal items for home and personal use
430,2599301,Serviços de confecção de armações metálicas para a construção,Services for the making of metal frameworks for construction,2599301 - Services for the making of metal frameworks for construction
431,2599302,Serviço de corte e dobra de metais,Metal cutting and bending service,2599302 - Metal cutting and bending service
432,2599399,Fabricação de outros produtos de metal não especificados anteriormente,Manufacture of other metal products not otherwise specified,2599399 - Manufacture of other metal products not otherwise specified
433,2610800,Fabricação de componentes eletrônicos,Electronic Component Manufacturing,2610800 - Electronic Component Manufacturing
434,2621300,Fabricação de equipamentos de informática,Manufacturing of computer equipment,2621300 - Manufacturing of computer equipment
435,2622100,Fabricação de periféricos para equipamentos de informática,Manufacturing of peripherals for computer equipment,2622100 - Manufacturing of peripherals for computer equipment
436,2631100,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios","Manufacture of transmitting communication equipment, parts and accessories","2631100 - Manufacture of transmitting communication equipment, parts and accessories"
437,2632900,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios","Manufacture of telephone devices and other communication equipment, parts and accessories","2632900 - Manufacture of telephone devices and other communication equipment, parts and accessories"
438,2640000,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","Manufacture of audio and video reception, reproduction, recording and amplification devices","2640000 - Manufacture of audio and video reception, reproduction, recording and amplification devices"
439,2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle","Manufacture of measuring, testing and control devices and equipment","2651500 - Manufacture of measuring, testing and control devices and equipment"
440,2652300,Fabricação de cronômetros e relógios,Manufacture of chronometers and watches,2652300 - Manufacture of chronometers and watches
441,2660400,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Manufacture of electromedical and electrotherapeutic devices and irradiation equipment,2660400 - Manufacture of electromedical and electrotherapeutic devices and irradiation equipment
442,2670101,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios","Manufacture of optical equipment and instruments, parts and accessories","2670101 - Manufacture of optical equipment and instruments, parts and accessories"
443,2670102,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios","Manufacture of photographic and cinematographic apparatus, parts and accessories","2670102 - Manufacture of photographic and cinematographic apparatus, parts and accessories"
444,2680900,"Fabricação de mídias virgens, magnéticas e ópticas","Manufacture of virgin, magnetic and optical media","2680900 - Manufacture of virgin, magnetic and optical media"
445,2710401,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios","Manufacturing of direct and alternating current generators, parts and accessories","2710401 - Manufacturing of direct and alternating current generators, parts and accessories"
446,2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios","Manufacture of transformers, inductors, converters, synchronizers and the like, parts and accessories","2710402 - Manufacture of transformers, inductors, converters, synchronizers and the like, parts and accessories"
447,2710403,"Fabricação de motores elétricos, peças e acessórios","Manufacturing of electric motors, parts and accessories","2710403 - Manufacturing of electric motors, parts and accessories"
448,2721000,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores","Manufacture of electric cells, batteries and accumulators, except for motor vehicles","2721000 - Manufacture of electric cells, batteries and accumulators, except for motor vehicles"
449,2722801,Fabricação de baterias e acumuladores para veículos automotores,Manufacture of batteries and accumulators for motor vehicles,2722801 - Manufacture of batteries and accumulators for motor vehicles
450,2722802,Recondicionamento de baterias e acumuladores para veículos automotores,Reconditioning of batteries and accumulators for motor vehicles,2722802 - Reconditioning of batteries and accumulators for motor vehicles
451,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Manufacture of appliances and equipment for distribution and control of electricity,2731700 - Manufacture of appliances and equipment for distribution and control of electricity
452,2732500,Fabricação de material elétrico para instalações em circuito de consumo,Manufacture of electrical material for consumer circuit installations,2732500 - Manufacture of electrical material for consumer circuit installations
453,2733300,"Fabricação de fios, cabos e condutores elétricos isolados","Manufacture of insulated electrical wires, cables and conductors","2733300 - Manufacture of insulated electrical wires, cables and conductors"
454,2740601,Fabricação de lâmpadas,lamp manufacturing,2740601 - lamp manufacturing
455,2740602,Fabricação de luminárias e outros equipamentos de iluminação,Manufacture of lighting fixtures and other lighting equipment,2740602 - Manufacture of lighting fixtures and other lighting equipment
456,2751100,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios","Manufacture of stoves, refrigerators and washing and drying machines for domestic use, parts and accessories","2751100 - Manufacture of stoves, refrigerators and washing and drying machines for domestic use, parts and accessories"
457,2759701,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios","Manufacture of personal electrical appliances, parts and accessories","2759701 - Manufacture of personal electrical appliances, parts and accessories"
458,2759799,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios","Manufacture of other household appliances not otherwise specified, parts and accessories","2759799 - Manufacture of other household appliances not otherwise specified, parts and accessories"
459,2790201,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores","Manufacture of electrodes, contacts and other articles in charcoal and graphite for electrical use, electromagnets and insulators","2790201 - Manufacture of electrodes, contacts and other articles in charcoal and graphite for electrical use, electromagnets and insulators"
460,2790202,Fabricação de equipamentos para sinalização e alarme,Manufacture of signaling and alarm equipment,2790202 - Manufacture of signaling and alarm equipment
461,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Manufacture of other electrical equipment and appliances not specified above,2790299 - Manufacture of other electrical equipment and appliances not specified above
462,2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários","Manufacture of engines and turbines, parts and accessories, except for aircraft and road vehicles","2811900 - Manufacture of engines and turbines, parts and accessories, except for aircraft and road vehicles"
463,2812700,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas","Manufacture of hydraulic and pneumatic equipment, parts and accessories, except valves","2812700 - Manufacture of hydraulic and pneumatic equipment, parts and accessories, except valves"
464,2813500,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios","Manufacture of valves, valves and similar devices, parts and accessories","2813500 - Manufacture of valves, valves and similar devices, parts and accessories"
465,2814301,"Fabricação de compressores para uso industrial, peças e acessórios","Manufacture of compressors for industrial use, parts and accessories","2814301 - Manufacture of compressors for industrial use, parts and accessories"
466,2814302,"Fabricação de compressores para uso não industrial, peças e acessórios","Manufacture of compressors for non-industrial use, parts and accessories","2814302 - Manufacture of compressors for non-industrial use, parts and accessories"
467,2815101,Fabricação de rolamentos para fins industriais,Manufacturing of bearings for industrial purposes,2815101 - Manufacturing of bearings for industrial purposes
468,2815102,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos","Manufacture of transmission equipment for industrial purposes, except bearings","2815102 - Manufacture of transmission equipment for industrial purposes, except bearings"
469,2821601,"Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios","Manufacturing of industrial ovens, non-electric appliances and equipment for thermal installations, parts and accessories","2821601 - Manufacturing of industrial ovens, non-electric appliances and equipment for thermal installations, parts and accessories"
470,2821602,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios","Manufacture of electric ovens and ovens for industrial purposes, parts and accessories","2821602 - Manufacture of electric ovens and ovens for industrial purposes, parts and accessories"
471,2822401,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios","Manufacture of machinery, equipment and apparatus for transporting and lifting people, parts and accessories","2822401 - Manufacture of machinery, equipment and apparatus for transporting and lifting people, parts and accessories"
472,2822402,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios","Manufacture of machinery, equipment and apparatus for transporting and lifting loads, parts and accessories","2822402 - Manufacture of machinery, equipment and apparatus for transporting and lifting loads, parts and accessories"
473,2823200,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios","Manufacture of refrigeration and ventilation machines and apparatus for industrial and commercial use, parts and accessories","2823200 - Manufacture of refrigeration and ventilation machines and apparatus for industrial and commercial use, parts and accessories"
474,2824101,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial,Manufacture of air conditioning apparatus and equipment for industrial use,2824101 - Manufacture of air conditioning apparatus and equipment for industrial use
475,2824102,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial,Manufacture of air conditioning apparatus and equipment for non-industrial use,2824102 - Manufacture of air conditioning apparatus and equipment for non-industrial use
476,2825900,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios","Manufacture of machines and equipment for basic and environmental sanitation, parts and accessories","2825900 - Manufacture of machines and equipment for basic and environmental sanitation, parts and accessories"
477,2829101,"Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios","Manufacture of typewriters, calculators and other non-electronic office equipment, parts and accessories","2829101 - Manufacture of typewriters, calculators and other non-electronic office equipment, parts and accessories"
478,2829199,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios","Manufacture of other general purpose machinery and equipment not specified above, parts and accessories","2829199 - Manufacture of other general purpose machinery and equipment not specified above, parts and accessories"
479,2831300,"Fabricação de tratores agrícolas, peças e acessórios","Manufacturing of agricultural tractors, parts and accessories","2831300 - Manufacturing of agricultural tractors, parts and accessories"
480,2832100,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios","Manufacture of agricultural irrigation equipment, parts and accessories","2832100 - Manufacture of agricultural irrigation equipment, parts and accessories"
481,2833000,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação","Manufacture of machinery and equipment for agriculture and livestock, parts and accessories, except for irrigation","2833000 - Manufacture of machinery and equipment for agriculture and livestock, parts and accessories, except for irrigation"
482,2840200,"Fabricação de máquinas-ferramenta, peças e acessórios","Manufacture of machine tools, parts and accessories","2840200 - Manufacture of machine tools, parts and accessories"
483,2851800,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios","Manufacture of machinery and equipment for prospecting and extracting oil, parts and accessories","2851800 - Manufacture of machinery and equipment for prospecting and extracting oil, parts and accessories"
484,2852600,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo","Manufacture of other machinery and equipment for use in mineral extraction, parts and accessories, except for oil extraction","2852600 - Manufacture of other machinery and equipment for use in mineral extraction, parts and accessories, except for oil extraction"
485,2853400,"Fabricação de tratores, peças e acessórios, exceto agrícolas","Manufacture of tractors, parts and accessories, except agricultural","2853400 - Manufacture of tractors, parts and accessories, except agricultural"
486,2854200,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores","Manufacture of machinery and equipment for earthmoving, paving and construction, parts and accessories, except tractors","2854200 - Manufacture of machinery and equipment for earthmoving, paving and construction, parts and accessories, except tractors"
487,2861500,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta","Manufacture of machinery for the metallurgical industry, parts and accessories, except machine tools","2861500 - Manufacture of machinery for the metallurgical industry, parts and accessories, except machine tools"
488,2862300,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios","Manufacture of machinery and equipment for the food, beverage and tobacco industries, parts and accessories","2862300 - Manufacture of machinery and equipment for the food, beverage and tobacco industries, parts and accessories"
489,2863100,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios","Manufacture of machinery and equipment for the textile industry, parts and accessories","2863100 - Manufacture of machinery and equipment for the textile industry, parts and accessories"
490,2864000,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios","Manufacture of machinery and equipment for the clothing, leather and footwear, parts and accessories industries","2864000 - Manufacture of machinery and equipment for the clothing, leather and footwear, parts and accessories industries"
491,2865800,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios","Manufacture of machinery and equipment for the pulp, paper and cardboard and artifacts, parts and accessories industries","2865800 - Manufacture of machinery and equipment for the pulp, paper and cardboard and artifacts, parts and accessories industries"
492,2866600,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios","Manufacture of machinery and equipment for the plastics industry, parts and accessories","2866600 - Manufacture of machinery and equipment for the plastics industry, parts and accessories"
493,2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios","Manufacture of machinery and equipment for specific industrial use not specified above, parts and accessories","2869100 - Manufacture of machinery and equipment for specific industrial use not specified above, parts and accessories"
494,2910701,"Fabricação de automóveis, camionetas e utilitários","Manufacture of cars, vans and utilities","2910701 - Manufacture of cars, vans and utilities"
495,2910702,"Fabricação de chassis com motor para automóveis, camionetas e utilitários","Manufacture of chassis with engine for cars, vans and utility vehicles","2910702 - Manufacture of chassis with engine for cars, vans and utility vehicles"
496,2910703,"Fabricação de motores para automóveis, camionetas e utilitários","Manufacture of engines for cars, vans and utility vehicles","2910703 - Manufacture of engines for cars, vans and utility vehicles"
497,2920401,Fabricação de caminhões e ônibus,Truck and bus manufacturing,2920401 - Truck and bus manufacturing
498,2920402,Fabricação de motores para caminhões e ônibus,Manufacture of engines for trucks and buses,2920402 - Manufacture of engines for trucks and buses
499,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões","Manufacture of cabins, bodies and trailers for trucks","2930101 - Manufacture of cabins, bodies and trailers for trucks"
500,2930102,Fabricação de carrocerias para ônibus,Manufacture of bus bodies,2930102 - Manufacture of bus bodies
501,2930103,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus","Manufacture of cabins, bodies and trailers for other motor vehicles, except trucks and buses","2930103 - Manufacture of cabins, bodies and trailers for other motor vehicles, except trucks and buses"
502,2941700,Fabricação de peças e acessórios para o sistema motor de veículos automotores,Manufacture of parts and accessories for the motor vehicle engine system,2941700 - Manufacture of parts and accessories for the motor vehicle engine system
503,2942500,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,Manufacture of parts and accessories for the transmission and transmission systems of motor vehicles,2942500 - Manufacture of parts and accessories for the transmission and transmission systems of motor vehicles
504,2943300,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Manufacture of parts and accessories for the brake system of motor vehicles,2943300 - Manufacture of parts and accessories for the brake system of motor vehicles
505,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,Manufacture of parts and accessories for the steering and suspension system of motor vehicles,2944100 - Manufacture of parts and accessories for the steering and suspension system of motor vehicles
506,2945000,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias","Manufacture of electrical and electronic material for motor vehicles, except batteries","2945000 - Manufacture of electrical and electronic material for motor vehicles, except batteries"
507,2949201,Fabricação de bancos e estofados para veículos automotores,Manufacture of seats and upholstery for motor vehicles,2949201 - Manufacture of seats and upholstery for motor vehicles
508,2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Manufacture of other parts and accessories for motor vehicles not previously specified,2949299 - Manufacture of other parts and accessories for motor vehicles not previously specified
509,2950600,Recondicionamento e recuperação de motores para veículos automotores,Reconditioning and recovery of engines for motor vehicles,2950600 - Reconditioning and recovery of engines for motor vehicles
510,3011301,Construção de embarcações de grande porte,Construction of large vessels,3011301 - Construction of large vessels
511,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte","Construction of vessels for commercial use and for special uses, except large ones","3011302 - Construction of vessels for commercial use and for special uses, except large ones"
512,3012100,Construção de embarcações para esporte e lazer,Construction of boats for sport and leisure,3012100 - Construction of boats for sport and leisure
513,3031800,"Fabricação de locomotivas, vagões e outros materiais rodantes","Manufacturing of locomotives, wagons and other rolling stock","3031800 - Manufacturing of locomotives, wagons and other rolling stock"
514,3032600,Fabricação de peças e acessórios para veículos ferroviários,Manufacturing of parts and accessories for railway vehicles,3032600 - Manufacturing of parts and accessories for railway vehicles
515,3041500,Fabricação de aeronaves,aircraft manufacturing,3041500 - aircraft manufacturing
516,3042300,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves","Manufacture of turbines, engines and other components and parts for aircraft","3042300 - Manufacture of turbines, engines and other components and parts for aircraft"
517,3050400,Fabricação de veículos militares de combate,Manufacture of military combat vehicles,3050400 - Manufacture of military combat vehicles
518,3091100,"Fabricação de motocicletas, peças e acessórios","Manufacture of motorcycles, parts and accessories","3091100 - Manufacture of motorcycles, parts and accessories"
519,3091101,Fabricação de motocicletas,motorcycle manufacturing,3091101 - motorcycle manufacturing
520,3091102,Fabricação de peças e acessórios para motocicletas,Manufacturing of motorcycle parts and accessories,3091102 - Manufacturing of motorcycle parts and accessories
521,3092000,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios","Manufacture of non-motorized bicycles and tricycles, parts and accessories","3092000 - Manufacture of non-motorized bicycles and tricycles, parts and accessories"
522,3099700,Fabricação de equipamentos de transporte não especificados anteriormente,Manufacturing of transport equipment not previously specified,3099700 - Manufacturing of transport equipment not previously specified
523,3101200,Fabricação de móveis com predominância de madeira,Manufacture of furniture with a predominance of wood,3101200 - Manufacture of furniture with a predominance of wood
524,3102100,Fabricação de móveis com predominância de metal,Manufacture of furniture with a predominance of metal,3102100 - Manufacture of furniture with a predominance of metal
525,3103900,"Fabricação de móveis de outros materiais, exceto madeira e metal","Manufacture of furniture from other materials, except wood and metal","3103900 - Manufacture of furniture from other materials, except wood and metal"
526,3104700,Fabricação de colchões,Mattress manufacturing,3104700 - Mattress manufacturing
527,3211601,Lapidação de gemas,gem cutting,3211601 - gem cutting
528,3211602,Fabricação de artefatos de joalheria e ourivesaria,Manufacture of jewelry and jewelery artifacts,3211602 - Manufacture of jewelry and jewelery artifacts
529,3211603,Cunhagem de moedas e medalhas,Coin and Medal Coining,3211603 - Coin and Medal Coining
530,3212400,Fabricação de bijuterias e artefatos semelhantes,Manufacture of costume jewelry and similar artifacts,3212400 - Manufacture of costume jewelry and similar artifacts
531,3220500,"Fabricação de instrumentos musicais, peças e acessórios","Manufacture of musical instruments, parts and accessories","3220500 - Manufacture of musical instruments, parts and accessories"
532,3230200,Fabricação de artefatos para pesca e esporte,Manufacture of fishing and sporting artifacts,3230200 - Manufacture of fishing and sporting artifacts
533,3240001,Fabricação de jogos eletrônicos,electronic game manufacturing,3240001 - electronic game manufacturing
534,3240002,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação","Manufacture of pool tables, pool tables and accessories not associated with the lease","3240002 - Manufacture of pool tables, pool tables and accessories not associated with the lease"
535,3240003,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação","Manufacture of pool tables, pool tables and accessories associated with the lease","3240003 - Manufacture of pool tables, pool tables and accessories associated with the lease"
